id,name,now_cost,position,team,news_added,expected_goals_conceded_per_90,own_goals,saves_per_90,bonus,transfers_in_event,bps,creativity_rank_type,points_per_game_rank,red_cards,penalties_saved,saves,corners_and_indirect_freekicks_order,goals_scored,creativity_rank,expected_assists_per_90,cost_change_event_fall,minutes,expected_goals_conceded,cost_change_start_fall,selected_rank_type,ep_next,now_cost_rank,event_points,value_form,starts,transfers_out_event,form_rank_type,threat_rank,influence_rank,now_cost_rank_type,form_rank,ict_index_rank_type,chance_of_playing_next_round,transfers_out,threat,ict_index_rank,in_dreamteam,web_name,direct_freekicks_order,clean_sheets,selected_by_percent,assists,expected_goal_involvements,expected_goal_involvements_per_90,creativity,ep_this,points_per_game_rank_type,points_per_game,expected_assists,yellow_cards,transfers_in,value_season,expected_goals,chance_of_playing_this_round,news,cost_change_event,form,total_points,selected_rank,penalties_missed,ict_index,goals_conceded,influence_rank_type,penalties_order,goals_conceded_per_90,cost_change_start,status,threat_rank_type,clean_sheets_per_90,expected_goals_per_90,influence,starts_per_90,dreamteam_count
1,Folarin Balogun,44,FWD,Arsenal,2023-08-31T08:55:15.272751Z,0.0,0,0.0,0,0,0,59,576,0,0,0,,0,557,0.0,0,0,0.00,1,48,0.0,531,0,0.0,0,698,55,543,568,90,539,57,0.0,55638,0.0,572,False,Balogun,,0,0.3,0,0.00,0.0,0.0,0.0,60,0.0,0.00,0,10024,0.0,0.00,0.0,Transferred to Monaco,0,0.0,0,292,0,0.0,0,56,,0.0,-1,u,57,0.0,0.0,0.0,0.0,0
2,Cédric Alves Soares,39,DEF,Arsenal,,0.0,0,0.0,0,1153,0,152,439,0,0,0,,0,413,0.0,0,0,0.00,1,96,0.5,698,0,0.0,0,833,131,386,432,219,384,155,,21410,0.0,436,False,Cédric,,0,0.4,0,0.00,0.0,0.0,-0.5,154,0.0,0.00,0,17242,0.0,0.00,,,0,0.0,0,246,0,0.0,0,156,,0.0,-1,a,137,0.0,0.0,0.0,0.0,0
3,Mohamed Elneny,44,MID,Arsenal,2023-08-11T13:00:06.079379Z,0.0,0,0.0,0,313,0,207,558,0,0,0,,0,539,0.0,0,0,0.00,1,141,0.5,496,0,0.0,0,321,188,523,550,274,516,210,100.0,10938,0.0,554,False,M.Elneny,,0,0.1,0,0.00,0.0,0.0,-0.5,211,0.0,0.00,0,6380,0.0,0.00,100.0,,0,0.0,0,438,0,0.0,0,206,,0.0,-1,a,203,0.0,0.0,0.0,0.0,0
4,Fábio Ferreira Vieira,54,MID,Arsenal,2023-09-29T10:30:07.948136Z,0.69,0,0.0,0,146,45,101,118,0,0,0,4.0,0,162,0.16,0,185,1.41,1,120,1.7,134,0,0.2,2,559,108,140,266,87,240,99,100.0,11788,58.0,216,False,Fábio Vieira,,1,0.1,3,0.73,0.36,56.5,0.7,51,3.2,0.32,0,9707,3.0,0.41,100.0,,0,1.2,16,376,0,15.9,2,111,,0.97,-1,a,83,0.49,0.2,45.6,0.97,0
5,Gabriel dos Santos Magalhães,47,DEF,Arsenal,2023-09-30T23:00:07.672676Z,0.9,0,0.0,2,34560,109,123,104,0,0,0,,0,343,0.01,0,474,4.75,3,10,5.5,334,8,1.1,5,14113,13,319,155,40,29,91,100.0,2017685,8.0,270,False,Gabriel,,3,12.4,0,0.11,0.02,9.7,4.5,36,3.4,0.04,1,335524,5.1,0.07,100.0,,0,5.0,24,32,0,11.6,3,61,,0.57,-3,a,108,0.57,0.01,97.8,0.95,0
6,Kai Havertz,71,MID,Arsenal,,0.94,0,0.0,0,1170,50,63,186,0,0,0,,1,86,0.1,0,461,4.82,4,41,3.5,29,4,0.4,5,2560,45,83,178,16,99,58,,326100,92.0,103,False,Havertz,,2,1.7,1,2.11,0.41,96.9,2.5,77,2.4,0.53,3,29152,2.7,1.58,,,0,3.0,19,137,0,27.6,4,70,,0.78,-4,a,50,0.39,0.31,87.0,0.98,0
8,Gabriel Fernando de Jesus,80,FWD,Arsenal,2023-09-30T23:30:06.990139Z,0.89,0,0.0,2,9727,45,21,161,0,0,0,,1,158,0.09,0,295,2.92,0,19,2.7,12,1,0.3,3,12585,23,52,221,4,154,21,100.0,304995,130.0,120,False,G.Jesus,,2,3.5,1,1.74,0.53,57.9,1.7,24,2.7,0.30,2,358969,2.0,1.44,100.0,,0,2.2,16,93,0,25.4,2,24,3.0,0.61,0,a,20,0.61,0.44,67.2,0.92,0
9,Jorge Luiz Frello Filho,54,MID,Arsenal,2023-08-07T15:30:05.168632Z,1.23,0,0.0,0,230,23,150,329,0,0,0,,0,284,0.06,0,146,1.99,1,102,1.5,117,2,0.2,1,386,118,702,330,72,255,163,100.0,12599,0.0,354,False,Jorginho,,1,0.2,0,0.10,0.06,18.2,0.5,155,1.2,0.10,1,4790,1.3,0.00,100.0,,0,1.0,7,333,0,3.9,2,143,,1.23,-1,a,301,0.62,0.0,21.6,0.62,0
10,Jakub Kiwior,43,DEF,Arsenal,,0.78,0,0.0,0,74,14,132,346,0,0,0,,0,358,0.03,0,91,0.79,2,165,0.5,588,0,0.0,1,179,194,278,345,154,497,128,,6039,14.0,358,False,Kiwior,,0,0.1,0,0.35,0.35,4.9,-0.5,122,1.0,0.03,0,2275,0.5,0.32,,,0,0.0,2,430,0,3.6,2,130,,1.98,-2,a,86,0.0,0.32,16.4,0.99,0
11,Marcus Oliveira Alencar,45,MID,Arsenal,2023-08-14T03:57:12.475590Z,0.0,0,0.0,0,0,0,247,635,0,0,0,,0,626,0.0,0,0,0.00,0,173,0.0,432,0,0.0,0,85,230,617,629,242,604,250,0.0,11014,0.0,634,False,Marquinhos,,0,0.1,0,0.00,0.0,0.0,0.0,250,0.0,0.00,0,819,0.0,0.00,0.0,Season long loan to FC Nantes,0,0.0,0,502,0,0.0,0,246,,0.0,0,u,246,0.0,0.0,0.0,0.0,0
